"source_file","nim","nama_mahasiswa","jenis_kelamin","angkatan","status","kode_prodi","extract_ts","row_hash"
dummy_mhs.csv,23000935,Mahasiswa 7241,L,2023,Aktif,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001683,Mahasiswa 1683,P,2020,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001609,Mahasiswa 3711,P,2021,Aktif,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001708,Mahasiswa 5912,P,2022,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000437,Mahasiswa 6743,L,2023,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000664,Mahasiswa 6970,P,2023,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001046,Mahasiswa 9454,L,2024,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001169,Mahasiswa 5373,L,2022,Aktif,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001980,Mahasiswa 10388,P,2024,Cuti,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001175,Mahasiswa 3277,P,2021,Lulus,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000791,Mahasiswa 4995,L,2022,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,24002058,Mahasiswa 10466,P,2024,Lulus,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,23002042,Mahasiswa 8348,L,2023,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,22002102,Mahasiswa 6306,P,2022,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001853,Mahasiswa 3955,P,2021,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000314,Mahasiswa 4518,P,2022,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000112,Mahasiswa 112,L,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000059,Mahasiswa 8467,P,2024,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000676,Mahasiswa 4880,P,2022,Lulus,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000701,Mahasiswa 7007,P,2023,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000703,Mahasiswa 9111,P,2024,Aktif,P13,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000785,Mahasiswa 2887,P,2021,Cuti,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000403,Mahasiswa 6709,P,2023,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000963,Mahasiswa 7269,P,2023,Aktif,P09,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000461,Mahasiswa 2563,L,2021,Cuti,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001765,Mahasiswa 3867,P,2021,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000103,Mahasiswa 2205,L,2021,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000156,Mahasiswa 4360,P,2022,Lulus,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000047,Mahasiswa 8455,L,2024,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000084,Mahasiswa 2186,L,2021,Lulus,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,20002060,Mahasiswa 2060,L,2020,Cuti,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001886,Mahasiswa 10294,P,2024,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000699,Mahasiswa 7005,P,2023,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000659,Mahasiswa 4863,L,2022,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000665,Mahasiswa 2767,L,2021,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001337,Mahasiswa 9745,L,2024,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,20002096,Mahasiswa 2096,P,2020,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000894,Mahasiswa 5098,L,2022,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000940,Mahasiswa 3042,L,2021,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001678,Mahasiswa 1678,L,2020,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000610,Mahasiswa 6916,L,2023,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001712,Mahasiswa 5916,L,2022,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000074,Mahasiswa 4278,L,2022,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000843,Mahasiswa 843,P,2020,Cuti,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000369,Mahasiswa 4573,L,2022,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000737,Mahasiswa 4941,L,2022,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001080,Mahasiswa 7386,L,2023,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001601,Mahasiswa 10009,L,2024,Lulus,P13,2025-12-06 21:36:41.563,
dummy_mhs.csv,24002059,Mahasiswa 10467,P,2024,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001995,Mahasiswa 4097,L,2021,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001372,Mahasiswa 3474,P,2021,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001421,Mahasiswa 1421,P,2020,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001774,Mahasiswa 5978,P,2022,Lulus,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001445,Mahasiswa 1445,L,2020,Cuti,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000336,Mahasiswa 8744,L,2024,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000112,Mahasiswa 4316,L,2022,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001557,Mahasiswa 1557,P,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,21002011,Mahasiswa 4113,L,2021,Aktif,P09,2025-12-06 21:36:41.563,
dummy_mhs.csv,20002019,Mahasiswa 2019,L,2020,Cuti,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000133,Mahasiswa 4337,L,2022,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001588,Mahasiswa 5792,L,2022,Lulus,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001284,Mahasiswa 7590,P,2023,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000502,Mahasiswa 502,L,2020,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000078,Mahasiswa 6384,P,2023,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001431,Mahasiswa 3533,L,2021,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000132,Mahasiswa 8540,P,2024,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000379,Mahasiswa 6685,L,2023,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001811,Mahasiswa 1811,L,2020,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000953,Mahasiswa 953,P,2020,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,20002064,Mahasiswa 2064,L,2020,Lulus,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001655,Mahasiswa 5859,P,2022,Aktif,P20,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001364,Mahasiswa 5568,L,2022,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000375,Mahasiswa 8783,L,2024,Cuti,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001831,Mahasiswa 8137,L,2023,Cuti,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001772,Mahasiswa 5976,P,2022,Aktif,P16,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001874,Mahasiswa 1874,L,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001567,Mahasiswa 3669,P,2021,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000656,Mahasiswa 2758,L,2021,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001797,Mahasiswa 10205,P,2024,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000282,Mahasiswa 8690,P,2024,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001168,Mahasiswa 7474,P,2023,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000430,Mahasiswa 6736,L,2023,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001013,Mahasiswa 1013,P,2020,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001361,Mahasiswa 5565,L,2022,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001701,Mahasiswa 3803,L,2021,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001498,Mahasiswa 7804,L,2023,Aktif,P09,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000639,Mahasiswa 2741,P,2021,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001731,Mahasiswa 5935,P,2022,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001115,Mahasiswa 9523,P,2024,Lulus,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001116,Mahasiswa 3218,L,2021,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000919,Mahasiswa 3021,P,2021,Cuti,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000348,Mahasiswa 6654,P,2023,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001704,Mahasiswa 1704,L,2020,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000353,Mahasiswa 6659,P,2023,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000175,Mahasiswa 175,L,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001801,Mahasiswa 6005,L,2022,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000629,Mahasiswa 9037,L,2024,Lulus,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000253,Mahasiswa 2355,L,2021,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001833,Mahasiswa 3935,L,2021,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000794,Mahasiswa 2896,L,2021,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001956,Mahasiswa 4058,P,2021,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001606,Mahasiswa 7912,P,2023,Aktif,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000181,Mahasiswa 2283,L,2021,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000012,Mahasiswa 8420,P,2024,Aktif,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001961,Mahasiswa 6165,L,2022,Cuti,P16,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000937,Mahasiswa 937,P,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000526,Mahasiswa 4730,L,2022,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000552,Mahasiswa 2654,L,2021,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001296,Mahasiswa 3398,P,2021,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000597,Mahasiswa 6903,L,2023,Aktif,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000881,Mahasiswa 2983,P,2021,Aktif,P20,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001452,Mahasiswa 9860,P,2024,Lulus,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000254,Mahasiswa 6560,P,2023,Aktif,P20,2025-12-06 21:36:41.563,
dummy_mhs.csv,22002021,Mahasiswa 6225,P,2022,Aktif,P09,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000200,Mahasiswa 6506,L,2023,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001409,Mahasiswa 7715,L,2023,Lulus,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001233,Mahasiswa 7539,L,2023,Aktif,P16,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000164,Mahasiswa 4368,L,2022,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001162,Mahasiswa 3264,P,2021,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001140,Mahasiswa 9548,L,2024,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000262,Mahasiswa 6568,P,2023,Aktif,P21,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001472,Mahasiswa 3574,L,2021,Cuti,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000737,Mahasiswa 7043,P,2023,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001782,Mahasiswa 8088,P,2023,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000728,Mahasiswa 2830,P,2021,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001649,Mahasiswa 5853,P,2022,Aktif,P09,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001814,Mahasiswa 8120,L,2023,Aktif,P16,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001172,Mahasiswa 5376,P,2022,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000516,Mahasiswa 8924,P,2024,Aktif,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001524,Mahasiswa 5728,P,2022,Lulus,P16,2025-12-06 21:36:41.563,
dummy_mhs.csv,23002055,Mahasiswa 8361,P,2023,Cuti,P01,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001457,Mahasiswa 7763,P,2023,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000316,Mahasiswa 316,L,2020,Lulus,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001433,Mahasiswa 3535,P,2021,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001739,Mahasiswa 10147,L,2024,Aktif,P15,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000336,Mahasiswa 336,P,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001088,Mahasiswa 3190,P,2021,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001898,Mahasiswa 10306,P,2024,Aktif,P07,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001642,Mahasiswa 10050,P,2024,Cuti,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000502,Mahasiswa 6808,L,2023,Aktif,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001196,Mahasiswa 3298,P,2021,Aktif,P19,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000297,Mahasiswa 6603,L,2023,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001522,Mahasiswa 7828,P,2023,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,22001845,Mahasiswa 6049,L,2022,Aktif,P02,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001181,Mahasiswa 1181,P,2020,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001301,Mahasiswa 3403,P,2021,Lulus,P12,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001560,Mahasiswa 1560,P,2020,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000256,Mahasiswa 256,P,2020,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,21000146,Mahasiswa 2248,L,2021,Cuti,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001916,Mahasiswa 1916,P,2020,Cuti,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001106,Mahasiswa 3208,L,2021,Aktif,P10,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001602,Mahasiswa 10010,P,2024,Aktif,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001939,Mahasiswa 1939,L,2020,Cuti,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000565,Mahasiswa 565,P,2020,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001401,Mahasiswa 9809,L,2024,Aktif,P14,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000267,Mahasiswa 4471,L,2022,Aktif,P09,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001780,Mahasiswa 8086,L,2023,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,21001730,Mahasiswa 3832,L,2021,Aktif,P05,2025-12-06 21:36:41.563,
dummy_mhs.csv,24002065,Mahasiswa 10473,L,2024,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000295,Mahasiswa 8703,L,2024,Aktif,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,20001858,Mahasiswa 1858,L,2020,Aktif,P04,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001033,Mahasiswa 7339,L,2023,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,23000551,Mahasiswa 6857,P,2023,Aktif,P06,2025-12-06 21:36:41.563,
dummy_mhs.csv,20000144,Mahasiswa 144,P,2020,Aktif,P18,2025-12-06 21:36:41.563,
dummy_mhs.csv,22000985,Mahasiswa 5189,L,2022,Aktif,P08,2025-12-06 21:36:41.563,
dummy_mhs.csv,23001158,Mahasiswa 7464,P,2023,Aktif,P17,2025-12-06 21:36:41.563,
dummy_mhs.csv,24001609,Mahasiswa 10017,P,2024,Lulus,P03,2025-12-06 21:36:41.563,
dummy_mhs.csv,24000312,Mahasiswa 8720,L,2024,Aktif,P11,2025-12-06 21:36:41.563,
dummy_mhs.csv,21002064,Mahasiswa 4166,P,2021,Aktif,P06,2025-12-06 21:36:41.563,
