"source_file","nidn","nama_dosen","kode_prodi","tahun","jumlah_mahasiswa","jumlah_dosen","rasio_dosen_mahasiswa","extract_ts","row_hash"
dummy_dosen.csv,N100281,Dosen 282,P18,2020,919,5,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100143,Dosen 144,P16,2023,840,5,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100242,Dosen 243,P18,2024,1923,7,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100269,Dosen 270,P13,2021,1628,16,0.01,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100034,Dosen 35,P21,2020,1999,14,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100297,Dosen 298,P14,2023,543,7,0.013,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100052,Dosen 53,P11,2024,950,6,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100149,Dosen 150,P12,2023,1737,17,0.01,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100012,Dosen 13,P08,2024,1294,5,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100266,Dosen 267,P05,2020,1252,9,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100096,Dosen 97,P04,2021,1430,10,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100085,Dosen 86,P06,2022,1330,9,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100308,Dosen 309,P12,2022,1774,17,0.01,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100264,Dosen 265,P02,2020,1884,11,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100070,Dosen 71,P10,2021,1436,8,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100016,Dosen 17,P09,2024,801,5,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100188,Dosen 189,P17,2021,1126,8,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100009,Dosen 10,P04,2023,1040,6,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100165,Dosen 166,P21,2023,1557,12,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100038,Dosen 39,P10,2023,503,7,0.014,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100344,Dosen 345,P11,2023,724,5,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100218,Dosen 219,P18,2022,1022,7,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100093,Dosen 94,P08,2021,976,8,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100157,Dosen 158,P05,2022,1861,15,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100033,Dosen 34,P17,2020,777,7,0.009,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100288,Dosen 289,P14,2022,614,5,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100011,Dosen 12,P11,2020,1952,9,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100232,Dosen 233,P12,2020,1395,6,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100086,Dosen 87,P19,2024,1600,5,0.003,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100092,Dosen 93,P10,2020,663,5,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100106,Dosen 107,P15,2024,896,7,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100192,Dosen 193,P20,2020,1561,9,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100009,Dosen 10,P01,2024,1820,12,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100124,Dosen 125,P06,2020,813,9,0.011,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100274,Dosen 275,P17,2023,1373,11,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100278,Dosen 279,P06,2023,1712,9,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100127,Dosen 128,P03,2020,577,5,0.009,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100340,Dosen 341,P07,2021,865,5,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100184,Dosen 185,P05,2024,1930,10,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100058,Dosen 59,P20,2022,1185,9,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100181,Dosen 182,P12,2021,618,5,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100073,Dosen 74,P14,2024,593,5,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100001,Dosen 2,P14,2020,1948,9,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100242,Dosen 243,P21,2024,1210,12,0.01,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100227,Dosen 228,P19,2023,1199,10,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100047,Dosen 48,P03,2024,856,5,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100005,Dosen 6,P10,2024,1341,8,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100042,Dosen 43,P13,2020,1506,9,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100144,Dosen 145,P19,2021,1794,12,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100126,Dosen 127,P15,2023,1525,8,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100334,Dosen 335,P04,2022,1006,11,0.011,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100245,Dosen 246,P06,2024,1810,13,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100120,Dosen 121,P16,2022,1664,6,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100231,Dosen 232,P01,2022,1665,15,0.009,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100188,Dosen 189,P05,2023,1642,12,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100284,Dosen 285,P05,2021,1748,10,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100241,Dosen 242,P19,2020,712,5,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100077,Dosen 78,P15,2022,1333,5,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100057,Dosen 58,P07,2024,1065,6,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100180,Dosen 181,P08,2022,1240,6,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100069,Dosen 70,P13,2023,715,5,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100264,Dosen 265,P15,2021,855,5,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100203,Dosen 204,P01,2023,1147,9,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100169,Dosen 170,P03,2023,592,5,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100294,Dosen 295,P20,2024,1614,9,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100246,Dosen 247,P03,2022,1686,11,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100058,Dosen 59,P17,2022,903,7,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100299,Dosen 300,P11,2022,1183,5,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100320,Dosen 321,P16,2020,705,10,0.014,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100010,Dosen 11,P17,2024,753,5,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100346,Dosen 347,P09,2020,884,6,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100339,Dosen 340,P13,2022,1779,13,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100004,Dosen 5,P18,2023,1215,8,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100204,Dosen 205,P20,2023,1393,6,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100244,Dosen 245,P16,2024,963,8,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100248,Dosen 249,P01,2020,1139,5,0.004,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100104,Dosen 105,P08,2020,1136,8,0.007,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100241,Dosen 242,P09,2022,1876,10,0.005,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100271,Dosen 272,P21,2022,1842,11,0.006,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100006,Dosen 7,P08,2023,1548,12,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100223,Dosen 224,P16,2021,1305,11,0.008,2025-12-06 21:36:41.573,
dummy_dosen.csv,N100216,Dosen 217,P04,2020,822,12,0.015,2025-12-06 21:36:41.573,
