"sk_dosen","nidn","nama_dosen","jabatan_fungsional","status_kepegawaian","sk_prodi","created_date","updated_date"
80,N100079,Dosen 80,Lektor Kepala,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
81,N100080,Dosen 81,Guru Besar,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
82,N100081,Dosen 82,Asisten Ahli,Kontrak,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
83,N100082,Dosen 83,Guru Besar,Kontrak,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
84,N100083,Dosen 84,Lektor Kepala,Tetap,16,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
85,N100084,Dosen 85,Lektor Kepala,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
86,N100085,Dosen 86,Lektor,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
87,N100086,Dosen 87,Asisten Ahli,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
88,N100087,Dosen 88,Guru Besar,Tetap,16,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
89,N100088,Dosen 89,Lektor,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
90,N100089,Dosen 90,Guru Besar,Tetap,16,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
91,N100090,Dosen 91,Guru Besar,Kontrak,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
92,N100091,Dosen 92,Lektor,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
93,N100092,Dosen 93,Lektor,Kontrak,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
94,N100093,Dosen 94,Lektor,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
95,N100094,Dosen 95,Lektor,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
96,N100095,Dosen 96,Lektor,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
97,N100096,Dosen 97,Guru Besar,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
98,N100097,Dosen 98,Lektor,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
99,N100098,Dosen 99,Asisten Ahli,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
100,N100099,Dosen 100,Lektor Kepala,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
101,N100100,Dosen 101,Lektor,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
102,N100101,Dosen 102,Lektor,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
103,N100102,Dosen 103,Guru Besar,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
104,N100103,Dosen 104,Lektor,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
105,N100104,Dosen 105,Lektor,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
106,N100105,Dosen 106,Lektor,Kontrak,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
107,N100106,Dosen 107,Guru Besar,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
108,N100107,Dosen 108,Lektor,Tetap,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
109,N100108,Dosen 109,Lektor Kepala,Tetap,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
110,N100109,Dosen 110,Guru Besar,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
111,N100110,Dosen 111,Lektor Kepala,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
112,N100111,Dosen 112,Guru Besar,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
113,N100112,Dosen 113,Lektor,Kontrak,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
114,N100113,Dosen 114,Lektor Kepala,Kontrak,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
115,N100114,Dosen 115,Guru Besar,Kontrak,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
116,N100115,Dosen 116,Asisten Ahli,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
117,N100116,Dosen 117,Lektor,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
118,N100117,Dosen 118,Guru Besar,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
119,N100118,Dosen 119,Asisten Ahli,Tetap,16,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
120,N100119,Dosen 120,Guru Besar,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
121,N100120,Dosen 121,Asisten Ahli,Kontrak,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
122,N100121,Dosen 122,Lektor,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
123,N100122,Dosen 123,Lektor Kepala,Kontrak,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
124,N100123,Dosen 124,Asisten Ahli,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
125,N100124,Dosen 125,Guru Besar,Kontrak,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
126,N100125,Dosen 126,Lektor,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
127,N100126,Dosen 127,Asisten Ahli,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
128,N100127,Dosen 128,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
129,N100128,Dosen 129,Guru Besar,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
130,N100129,Dosen 130,Guru Besar,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
131,N100130,Dosen 131,Asisten Ahli,Kontrak,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
132,N100131,Dosen 132,Asisten Ahli,Kontrak,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
133,N100132,Dosen 133,Asisten Ahli,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
134,N100133,Dosen 134,Lektor Kepala,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
135,N100134,Dosen 135,Asisten Ahli,Tetap,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
136,N100135,Dosen 136,Asisten Ahli,Kontrak,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
137,N100136,Dosen 137,Asisten Ahli,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
138,N100137,Dosen 138,Lektor Kepala,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
139,N100138,Dosen 139,Asisten Ahli,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
140,N100139,Dosen 140,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
141,N100140,Dosen 141,Asisten Ahli,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
142,N100141,Dosen 142,Guru Besar,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
143,N100142,Dosen 143,Guru Besar,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
144,N100143,Dosen 144,Guru Besar,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
145,N100144,Dosen 145,Lektor Kepala,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
146,N100145,Dosen 146,Lektor Kepala,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
147,N100146,Dosen 147,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
148,N100147,Dosen 148,Asisten Ahli,Kontrak,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
149,N100148,Dosen 149,Guru Besar,Tetap,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
150,N100149,Dosen 150,Lektor Kepala,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
151,N100150,Dosen 151,Lektor Kepala,Tetap,7,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
152,N100151,Dosen 152,Asisten Ahli,Tetap,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
153,N100152,Dosen 153,Lektor Kepala,Kontrak,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
154,N100153,Dosen 154,Asisten Ahli,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
155,N100154,Dosen 155,Lektor,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
156,N100155,Dosen 156,Lektor Kepala,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
157,N100156,Dosen 157,Lektor,Tetap,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
158,N100157,Dosen 158,Asisten Ahli,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
159,N100158,Dosen 159,Guru Besar,Tetap,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
160,N100159,Dosen 160,Lektor Kepala,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
161,N100160,Dosen 161,Asisten Ahli,Tetap,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
162,N100161,Dosen 162,Guru Besar,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
163,N100162,Dosen 163,Guru Besar,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
164,N100163,Dosen 164,Lektor,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
165,N100164,Dosen 165,Asisten Ahli,Kontrak,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
166,N100165,Dosen 166,Guru Besar,Kontrak,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
167,N100166,Dosen 167,Lektor Kepala,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
168,N100167,Dosen 168,Lektor Kepala,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
169,N100168,Dosen 169,Lektor,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
170,N100169,Dosen 170,Guru Besar,Tetap,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
171,N100170,Dosen 171,Asisten Ahli,Kontrak,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
172,N100171,Dosen 172,Lektor Kepala,Kontrak,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
173,N100172,Dosen 173,Guru Besar,Tetap,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
174,N100173,Dosen 174,Guru Besar,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
175,N100174,Dosen 175,Lektor,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
176,N100175,Dosen 176,Lektor Kepala,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
177,N100176,Dosen 177,Lektor Kepala,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
178,N100177,Dosen 178,Asisten Ahli,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
179,N100178,Dosen 179,Lektor Kepala,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
180,N100179,Dosen 180,Asisten Ahli,Kontrak,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
181,N100180,Dosen 181,Lektor Kepala,Kontrak,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
182,N100181,Dosen 182,Lektor,Kontrak,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
183,N100182,Dosen 183,Lektor Kepala,Tetap,21,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
184,N100183,Dosen 184,Asisten Ahli,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
185,N100184,Dosen 185,Asisten Ahli,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
186,N100185,Dosen 186,Lektor,Tetap,16,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
187,N100186,Dosen 187,Lektor Kepala,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
188,N100187,Dosen 188,Lektor Kepala,Kontrak,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
189,N100188,Dosen 189,Lektor,Kontrak,9,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
190,N100189,Dosen 190,Lektor Kepala,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
191,N100190,Dosen 191,Lektor Kepala,Kontrak,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
192,N100191,Dosen 192,Asisten Ahli,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
193,N100192,Dosen 193,Lektor Kepala,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
194,N100193,Dosen 194,Lektor Kepala,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
195,N100194,Dosen 195,Lektor,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
196,N100195,Dosen 196,Lektor,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
197,N100196,Dosen 197,Guru Besar,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
198,N100197,Dosen 198,Asisten Ahli,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
199,N100198,Dosen 199,Lektor Kepala,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
200,N100199,Dosen 200,Lektor Kepala,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
201,N100200,Dosen 201,Guru Besar,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
202,N100201,Dosen 202,Lektor Kepala,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
203,N100202,Dosen 203,Asisten Ahli,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
204,N100203,Dosen 204,Guru Besar,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
205,N100204,Dosen 205,Asisten Ahli,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
206,N100205,Dosen 206,Guru Besar,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
207,N100206,Dosen 207,Guru Besar,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
208,N100207,Dosen 208,Lektor,Kontrak,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
209,N100208,Dosen 209,Asisten Ahli,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
210,N100209,Dosen 210,Lektor Kepala,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
211,N100210,Dosen 211,Lektor Kepala,Kontrak,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
212,N100211,Dosen 212,Asisten Ahli,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
213,N100212,Dosen 213,Lektor Kepala,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
214,N100213,Dosen 214,Lektor Kepala,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
215,N100214,Dosen 215,Asisten Ahli,Tetap,19,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
216,N100215,Dosen 216,Guru Besar,Kontrak,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
217,N100216,Dosen 217,Asisten Ahli,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
218,N100217,Dosen 218,Guru Besar,Tetap,20,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
219,N100218,Dosen 219,Lektor Kepala,Tetap,17,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
220,N100219,Dosen 220,Lektor Kepala,Kontrak,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
221,N100220,Dosen 221,Lektor Kepala,Tetap,15,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
222,N100221,Dosen 222,Lektor,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
223,N100222,Dosen 223,Guru Besar,Tetap,14,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
224,N100223,Dosen 224,Lektor,Kontrak,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
225,N100224,Dosen 225,Lektor,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
226,N100225,Dosen 226,Asisten Ahli,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
227,N100226,Dosen 227,Lektor,Tetap,4,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
228,N100227,Dosen 228,Asisten Ahli,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
229,N100228,Dosen 229,Asisten Ahli,Tetap,11,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
230,N100229,Dosen 230,Lektor,Tetap,3,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
231,N100230,Dosen 231,Guru Besar,Tetap,1,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
232,N100231,Dosen 232,Guru Besar,Tetap,6,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
233,N100232,Dosen 233,Guru Besar,Kontrak,18,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
234,N100233,Dosen 234,Guru Besar,Kontrak,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
235,N100234,Dosen 235,Guru Besar,Tetap,5,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
236,N100235,Dosen 236,Lektor,Kontrak,10,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
237,N100236,Dosen 237,Lektor,Tetap,12,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
238,N100237,Dosen 238,Lektor Kepala,Tetap,2,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
239,N100238,Dosen 239,Guru Besar,Tetap,13,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
240,N100239,Dosen 240,Lektor,Tetap,8,2025-12-06 21:36:41.533,2025-12-06 21:36:41.533
